año,codigo snies del programa,inscritos,semestre
2016,3209,50,2
2016,3229,15,2
2016,3232,14,2
2016,3233,6,2
2016,3237,55,2
2016,3239,3,2
2016,3251,74,2
2016,3252,30,2
2016,3254,74,2
2016,3255,196,2
2016,3264,2,2
2016,3268,28,2
2016,3269,34,2
2016,3271,195,2
2016,3274,61,2
2016,3275,510,2
2016,3280,2,2
2016,3283,5,2
2016,3285,18,2
2016,3290,166,2
2016,3295,18,2
2016,3298,33,2
2016,3302,10,2
2016,3308,7,2
2016,3312,82,2
2016,3315,91,2
2016,3317,20,2
2016,3318,1,2
2016,3325,76,2
2016,3327,3,2
2016,3329,29,2
2016,3345,39,2
2016,3347,381,2
2016,3348,358,2
2016,3425,16,2
2016,3431,67,2
2016,3435,57,2
2016,3436,39,2
2016,3437,48,2
2016,3439,27,2
2016,3440,24,2
2016,3450,4,2
2016,3454,47,2
2016,3457,36,2
2016,3460,46,2
2016,3461,56,2
2016,3465,8,2
2016,3474,2,2
2016,3476,27,2
2016,3482,19,2
2016,3483,40,2
2016,3488,220,2
2016,3489,159,2
2016,3492,20,2
2016,3500,48,2
2016,3511,108,2
2016,3517,26,2
2016,3518,62,2
2016,3521,35,2
2016,3529,399,2
2016,3538,68,2
2016,3539,27,2
2016,3549,19,2
2016,3551,18,2
2016,3552,11,2
2016,3553,28,2
2016,3556,12,2
2016,3558,24,2
2016,3559,43,2
2016,3560,36,2
2016,3561,6,2
2016,3563,99,2
2016,3568,47,2
2016,3571,55,2
2016,3572,3,2
2016,3579,14,2
2016,3602,27,2
2016,3603,28,2
2016,3604,28,2
2016,3607,90,2
2016,3608,60,2
2016,3615,6,2
2016,3617,61,2
2016,3620,26,2
2016,3636,98,2
2016,3638,338,2
2016,3642,41,2
2016,3643,60,2
2016,3655,75,2
2016,3661,47,2
2016,3662,67,2
2016,3671,75,2
2016,3678,135,2
2016,3679,155,2
2016,3680,561,2
2016,3684,50,2
2016,3687,23,2
2016,3689,731,2
2016,3695,25,2
2016,3697,58,2
2016,3698,139,2
2016,3699,64,2
2016,3701,142,2
2016,3707,94,2
2016,3709,19,2
2016,3723,132,2
2016,3725,39,2
2016,3726,287,2
2016,3728,383,2
2016,3729,960,2
2016,3731,102,2
2016,3734,2,2
2016,3735,7,2
2016,3736,99,2
2016,3737,5,2
2016,3738,70,2
2016,3739,263,2
2016,3741,2,2
2016,3742,39,2
2016,3743,17,2
2016,3745,47,2
2016,3746,190,2
2016,3747,54,2
2016,3748,2,2
2016,3758,16,2
2016,3762,87,2
2016,3765,2,2
2016,3766,79,2
2016,3778,62,2
2016,3788,19,2
2016,3789,88,2
2016,3790,39,2
2016,3792,24,2
2016,3801,526,2
2016,3802,70,2
2016,3806,34,2
2016,3827,28,2
2016,3828,15,2
2016,3830,16,2
2016,3831,41,2
2016,3833,173,2
2016,3835,27,2
2016,3836,45,2
2016,3840,57,2
2016,3841,6,2
2016,3842,37,2
2016,3843,33,2
2016,3845,1,2
2016,3846,103,2
2016,3847,154,2
2016,3849,6,2
2016,3851,52,2
2016,3852,111,2
2016,3853,131,2
2016,3854,44,2
2016,3855,100,2
2016,3885,11,2
2016,3888,58,2
2016,3893,20,2
2016,3896,110,2
2016,3899,84,2
2016,3904,23,2
2016,3905,4,2
2016,3922,8,2
2016,3926,289,2
2016,3928,1,2
2016,3929,30,2
2016,3933,16,2
2016,3938,20,2
2016,3948,56,2
2016,3952,90,2
2016,3954,16,2
2016,3961,113,2
2016,3965,159,2
2016,3969,55,2
2016,3983,55,2
2016,3986,56,2
2016,3987,26,2
2016,4000,240,2
2016,4010,134,2
2016,4019,105,2
2016,4024,24,2
2016,4035,133,2
2016,4036,114,2
2016,4039,21,2
2016,4040,2,2
2016,4041,18,2
2016,4045,46,2
2016,4047,265,2
2016,4048,179,2
2016,4054,1,2
2016,4063,70,2
2016,4065,12,2
2016,4066,48,2
2016,4067,22,2
2016,4068,42,2
2016,4069,26,2
2016,4071,26,2
2016,4072,39,2
2016,4073,58,2
2016,4074,17,2
2016,4078,10,2
2016,4080,177,2
2016,4083,33,2
2016,4084,132,2
2016,4086,52,2
2016,4087,101,2
2016,4088,314,2
2016,4090,43,2
2016,4092,29,2
2016,4093,69,2
2016,4095,243,2
2016,4096,125,2
2016,4099,143,2
2016,4112,223,2
2016,4113,130,2
2016,4114,90,2
2016,4118,52,2
2016,4129,25,2
2016,4136,52,2
2016,4140,84,2
2016,4142,8,2
2016,4144,30,2
2016,4148,36,2
2016,4157,65,2
2016,4159,5,2
2016,4160,21,2
2016,4164,19,2
2016,4166,10,2
2016,4167,93,2
2016,4169,103,2
2016,4175,5,2
2016,4176,106,2
2016,4191,8,2
2016,4196,26,2
2016,4201,6,2
2016,4203,12,2
2016,4206,61,2
2016,4208,59,2
2016,4223,13,2
2016,4225,18,2
2016,4232,22,2
2016,4239,12,2
2016,4240,59,2
2016,4241,199,2
2016,4243,13,2
2016,4245,17,2
2016,4247,90,2
2016,4248,1,2
2016,4250,8,2
2016,4254,811,2
2016,4255,62,2
2016,4256,1,2
2016,4257,24,2
2016,4261,275,2
2016,4266,30,2
2016,4267,19,2
2016,4279,16,2
2016,4292,19,2
2016,4305,12,2
2016,4312,19,2
2016,4317,63,2
2016,4318,285,2
2016,4319,8,2
2016,4322,53,2
2016,4323,12,2
2016,4335,11,2
2016,4336,181,2
2016,4338,139,2
2016,4340,72,2
2016,4342,34,2
2016,4343,49,2
2016,4347,151,2
2016,4349,106,2
2016,4350,20,2
2016,4355,18,2
2016,4358,63,2
2016,4361,24,2
2016,4367,30,2
2016,4368,70,2
2016,4376,39,2
2016,4378,17,2
2016,4382,45,2
2016,4389,28,2
2016,4400,58,2
2016,4405,176,2
2016,4417,52,2
2016,4438,94,2
2016,4439,29,2
2016,4442,79,2
2016,4443,16,2
2016,4448,18,2
2016,4450,2,2
2016,4453,19,2
2016,4456,13,2
2016,4458,9,2
2016,4460,124,2
2016,4461,1,2
2016,4465,27,2
2016,4466,43,2
2016,4467,68,2
2016,4468,19,2
2016,4476,4,2
2016,4481,148,2
2016,4489,5,2
2016,4493,73,2
2016,4498,75,2
2016,4500,21,2
2016,4508,9,2
2016,4526,4,2
2016,4541,14,2
2016,4543,27,2
2016,4544,8,2
2016,4551,36,2
2016,4552,12,2
2016,4553,57,2
2016,4564,2,2
2016,4565,24,2
2016,4575,61,2
2016,4579,39,2
2016,4627,111,2
2016,4630,6,2
2016,4631,154,2
2016,4632,15,2
2016,4633,89,2
2016,4634,77,2
2016,4635,20,2
2016,4649,75,2
2016,4656,7,2
2016,4657,18,2
2016,4658,2,2
2016,4670,49,2
2016,4671,45,2
2016,4674,24,2
2016,4677,26,2
2016,4678,196,2
2016,4687,78,2
2016,4688,70,2
2016,4689,26,2
2016,4692,5,2
2016,4693,6,2
2016,4709,53,2
2016,4710,225,2
2016,4753,173,2
2016,4768,60,2
2016,4770,53,2
2016,4771,5,2
2016,4772,106,2
2016,4783,754,2
2016,4784,25,2
2016,4797,45,2
2016,4802,18,2
2016,4803,42,2
2016,4809,38,2
2016,4810,11,2
2016,4814,99,2
2016,4821,9,2
2016,4822,94,2
2016,4826,8,2
2016,4827,67,2
2016,4828,53,2
2016,4830,40,2
2016,4832,72,2
2016,4833,5,2
